date,home_team,away_team,home_score,away_score
2019-12-07,Wake Forest,NC State,82,91
2019-12-08,Florida State,Clemson,72,53
2019-12-08,Virginia,North Carolina,56,47
2019-12-31,Clemson,Miami (FL),68,73
2019-12-31,Duke,Boston College,88,49
2019-12-31,Florida State,Georgia Tech,70,58
2020-01-04,Virginia,Virginia Tech,65,39
2020-01-04,Syracuse,Notre Dame,87,88
2020-01-04,Pittsburgh,Wake Forest,65,69
2020-01-04,Miami (FL),Duke,62,95
2020-01-04,Louisville,Florida State,65,78
2020-01-04,Clemson,NC State,81,70
2020-01-04,North Carolina,Georgia Tech,83,96
2020-01-07,Boston College,Virginia,60,53
2020-01-07,Louisville,Miami (FL),74,58
2020-01-07,Syracuse,Virginia Tech,63,67
2020-01-08,Wake Forest,Florida State,68,78
2020-01-08,Georgia Tech,Duke,64,73
2020-01-08,NC State,Notre Dame,73,68
2020-01-08,North Carolina,Pittsburgh,65,73
2020-01-11,Virginia Tech,NC State,72,58
2020-01-11,Virginia,Syracuse,55,63
2020-01-11,Notre Dame,Louisville,64,67
2020-01-11,Boston College,Georgia Tech,52,71
2020-01-11,Duke,Wake Forest,90,59
2020-01-11,North Carolina,Clemson,76,79
2020-01-12,Miami (FL),Pittsburgh,66,58
2020-01-14,Pittsburgh,Louisville,68,73
2020-01-14,Clemson,Duke,79,72
2020-01-14,Wake Forest,Virginia Tech,70,80
2020-01-15,Syracuse,Boston College,76,50
2020-01-15,NC State,Miami (FL),80,63
2020-01-15,Georgia Tech,Notre Dame,74,78
2020-01-15,Florida State,Virginia,54,50
2020-01-18,Duke,Louisville,73,79
2020-01-18,Georgia Tech,Virginia,58,63
2020-01-18,Miami (FL),Florida State,79,83
2020-01-18,NC State,Clemson,60,54
2020-01-18,Pittsburgh,North Carolina,66,52
2020-01-18,Virginia Tech,Syracuse,69,71
2020-01-19,Wake Forest,Boston College,80,62
2020-01-20,Virginia,NC State,51,53
2020-01-21,Duke,Miami (FL),89,59
2020-01-21,Clemson,Wake Forest,71,68
2020-01-22,Louisville,Georgia Tech,68,64
2020-01-22,Notre Dame,Syracuse,82,84
2020-01-22,Pittsburgh,Boston College,74,72
2020-01-22,Virginia Tech,North Carolina,79,77
2020-01-25,Syracuse,Pittsburgh,69,61
2020-01-25,Boston College,Virginia Tech,61,56
2020-01-25,Florida State,Notre Dame,85,84
2020-01-25,Georgia Tech,NC State,64,58
2020-01-25,Louisville,Clemson,80,62
2020-01-25,North Carolina,Miami (FL),94,71
2020-01-26,Wake Forest,Virginia,63,65
2020-01-27,NC State,North Carolina,65,75
2020-01-28,Clemson,Syracuse,71,70
2020-01-28,Duke,Pittsburgh,79,67
2020-01-28,Miami (FL),Virginia Tech,71,61
2020-01-28,Virginia,Florida State,61,56
2020-01-29,Boston College,Louisville,69,86
2020-01-29,Notre Dame,Wake Forest,90,80
2020-02-01,Wake Forest,Clemson,56,44
2020-02-01,Syracuse,Duke,88,97
2020-02-01,Virginia Tech,Florida State,63,74
2020-02-01,North Carolina,Boston College,70,71
2020-02-01,NC State,Louisville,57,77
2020-02-01,Notre Dame,Georgia Tech,80,72
2020-02-02,Pittsburgh,Miami (FL),62,57
2020-02-03,Florida State,North Carolina,65,59
2020-02-04,Boston College,Duke,55,63
2020-02-04,Georgia Tech,Virginia Tech,76,57
2020-02-05,Louisville,Wake Forest,86,76
2020-02-05,Miami (FL),NC State,72,83
2020-02-05,Notre Dame,Pittsburgh,80,72
2020-02-05,Virginia,Clemson,51,44
2020-02-08,Virginia Tech,Boston College,73,77
2020-02-08,Syracuse,Wake Forest,75,73
2020-02-08,Pittsburgh,Georgia Tech,73,64
2020-02-08,North Carolina,Duke,96,98
2020-02-08,Louisville,Virginia,80,73
2020-02-08,Florida State,Miami (FL),99,81
2020-02-09,Clemson,Notre Dame,57,61
2020-02-10,Duke,Florida State,70,65
2020-02-11,Syracuse,NC State,74,79
2020-02-11,Virginia,Notre Dame,50,49
2020-02-11,Wake Forest,North Carolina,74,57
2020-02-12,Miami (FL),Boston College,85,58
2020-02-12,Pittsburgh,Clemson,52,72
2020-02-12,Georgia Tech,Louisville,64,58
2020-02-15,Clemson,Louisville,77,62
2020-02-15,Duke,Notre Dame,94,60
2020-02-15,Florida State,Syracuse,80,77
2020-02-15,Miami (FL),Wake Forest,71,54
2020-02-15,North Carolina,Virginia,62,64
2020-02-15,Virginia Tech,Pittsburgh,67,57
2020-02-16,Boston College,NC State,71,68
2020-02-17,Notre Dame,North Carolina,77,76
2020-02-18,Florida State,Pittsburgh,82,67
2020-02-19,Wake Forest,Georgia Tech,79,86
2020-02-19,Virginia,Boston College,78,65
2020-02-19,Virginia Tech,Miami (FL),95,102
2020-02-19,Louisville,Syracuse,90,66
2020-02-19,NC State,Duke,88,66
2020-02-22,Boston College,Clemson,64,82
2020-02-22,Duke,Virginia Tech,88,64
2020-02-22,Louisville,North Carolina,72,55
2020-02-22,NC State,Florida State,61,67
2020-02-22,Pittsburgh,Virginia,56,59
2020-02-22,Syracuse,Georgia Tech,79,72
2020-02-23,Notre Dame,Miami (FL),87,71
2020-02-24,Florida State,Louisville,82,67
2020-02-25,Wake Forest,Duke,113,101
2020-02-25,Georgia Tech,Clemson,68,59
2020-02-25,North Carolina,NC State,85,79
2020-02-26,Boston College,Notre Dame,61,62
2020-02-26,Pittsburgh,Syracuse,49,72
2020-02-26,Virginia Tech,Virginia,53,56
2020-02-29,Virginia,Duke,52,50
2020-02-29,Clemson,Florida State,70,69
2020-02-29,Georgia Tech,Miami (FL),63,57
2020-02-29,NC State,Pittsburgh,77,73
2020-02-29,Syracuse,North Carolina,79,92
2020-02-29,Wake Forest,Notre Dame,84,73
2020-03-01,Louisville,Virginia Tech,68,52
2020-03-02,Duke,NC State,88,69
2020-03-03,North Carolina,Wake Forest,93,83
2020-03-03,Boston College,Syracuse,71,84
2020-03-04,Georgia Tech,Pittsburgh,73,57
2020-03-04,Miami (FL),Virginia,44,46
2020-03-04,Notre Dame,Florida State,71,73
2020-03-04,Virginia Tech,Clemson,70,58
2020-03-06,Clemson,Georgia Tech,62,65
2020-03-06,NC State,Wake Forest,84,64
2020-03-07,Virginia,Louisville,57,54
2020-03-07,Miami (FL),Syracuse,69,65
2020-03-07,Notre Dame,Virginia Tech,64,56
2020-03-07,Duke,North Carolina,89,76
2020-03-07,Florida State,Boston College,80,62
2020-03-10,Virginia Tech,North Carolina,56,78
2020-03-10,Wake Forest,Pittsburgh,72,81
2020-03-11,Clemson,Miami (FL),69,64
2020-03-11,NC State,Pittsburgh,73,58
2020-03-11,Notre Dame,Boston College,80,58
2020-03-11,Syracuse,North Carolina,81,53
2020-12-12,Boston College,Syracuse,63,101
2020-12-15,Florida State,Georgia Tech,74,61
2020-12-15,Virginia Tech,Clemson,66,60
2020-12-16,Notre Dame,Duke,65,75
2020-12-16,Miami (FL),Pittsburgh,55,70
2020-12-22,NC State,North Carolina,79,76
2020-12-22,Pittsburgh,Louisville,54,64
2020-12-29,Clemson,Florida State,77,67
2020-12-29,Virginia Tech,Miami (FL),80,78
2020-12-30,Georgia Tech,North Carolina,72,67
2020-12-30,NC State,Boston College,79,76
2020-12-30,Notre Dame,Virginia,57,66
2021-01-02,North Carolina,Notre Dame,66,65
2021-01-02,Miami (FL),Clemson,65,66
2021-01-02,Boston College,Louisville,64,76
2021-01-03,Georgia Tech,Wake Forest,70,54
2021-01-05,Clemson,NC State,74,70
2021-01-05,Miami (FL),North Carolina,65,67
2021-01-06,Duke,Boston College,83,82
2021-01-06,Louisville,Virginia Tech,73,71
2021-01-06,Syracuse,Pittsburgh,60,63
2021-01-06,Virginia,Wake Forest,70,61
2021-01-09,Duke,Wake Forest,79,68
2021-01-09,NC State,Miami (FL),59,64
2021-01-09,Boston College,Virginia,49,61
2021-01-10,Virginia Tech,Notre Dame,77,63
2021-01-12,North Carolina,Syracuse,81,75
2021-01-12,Boston College,Miami (FL),84,62
2021-01-12,Virginia Tech,Duke,74,67
2021-01-13,Virginia,Notre Dame,80,68
2021-01-13,Florida State,NC State,105,73
2021-01-13,Wake Forest,Louisville,65,77
2021-01-16,Pittsburgh,Syracuse,96,76
2021-01-16,Notre Dame,Boston College,80,70
2021-01-16,Florida State,North Carolina,82,75
2021-01-16,Clemson,Virginia,50,85
2021-01-16,Miami (FL),Louisville,78,72
2021-01-17,Wake Forest,Virginia Tech,60,64
2021-01-18,Louisville,Florida State,65,78
2021-01-19,Pittsburgh,Duke,79,73
2021-01-19,Syracuse,Miami (FL),83,57
2021-01-20,Georgia Tech,Clemson,83,65
2021-01-20,North Carolina,Wake Forest,80,73
2021-01-23,Virginia,Georgia Tech,64,62
2021-01-23,Wake Forest,Pittsburgh,76,75
2021-01-23,Syracuse,Virginia Tech,78,60
2021-01-23,North Carolina,NC State,86,76
2021-01-23,Louisville,Duke,70,65
2021-01-23,Florida State,Clemson,80,61
2021-01-24,Miami (FL),Notre Dame,59,73
2021-01-25,Virginia,Syracuse,81,58
2021-01-26,Duke,Georgia Tech,75,68
2021-01-26,Pittsburgh,North Carolina,65,75
2021-01-27,Clemson,Louisville,54,50
2021-01-27,Florida State,Miami (FL),81,59
2021-01-27,NC State,Wake Forest,72,67
2021-01-27,Notre Dame,Virginia Tech,51,62
2021-01-30,Georgia Tech,Florida State,76,65
2021-01-30,Wake Forest,Miami (FL),66,54
2021-01-30,Virginia Tech,Virginia,65,51
2021-01-30,Duke,Clemson,79,53
2021-01-30,Pittsburgh,Notre Dame,58,84
2021-01-31,Syracuse,NC State,76,73
2021-02-01,Louisville,Georgia Tech,74,58
2021-02-01,Miami (FL),Duke,77,75
2021-02-02,Clemson,North Carolina,63,50
2021-02-02,Notre Dame,Wake Forest,79,58
2021-02-03,NC State,Virginia,57,64
2021-02-03,Pittsburgh,Virginia Tech,83,72
2021-02-06,Clemson,Syracuse,78,61
2021-02-06,Boston College,NC State,65,81
2021-02-06,Duke,North Carolina,87,91
2021-02-06,Georgia Tech,Notre Dame,82,80
2021-02-06,Miami (FL),Virginia Tech,76,80
2021-02-06,Virginia,Pittsburgh,73,66
2021-02-09,Duke,Notre Dame,89,93
2021-02-09,NC State,Syracuse,68,77
2021-02-10,Georgia Tech,Virginia,49,57
2021-02-10,Boston College,Wake Forest,65,69
2021-02-12,Clemson,Georgia Tech,74,72
2021-02-13,Virginia,North Carolina,60,48
2021-02-13,Syracuse,Boston College,75,67
2021-02-13,NC State,Duke,53,69
2021-02-13,Florida State,Wake Forest,92,85
2021-02-14,Georgia Tech,Pittsburgh,71,65
2021-02-14,Notre Dame,Miami (FL),71,61
2021-02-15,Florida State,Virginia,81,60
2021-02-17,Pittsburgh,NC State,73,74
2021-02-17,Wake Forest,Duke,60,84
2021-02-20,Wake Forest,NC State,62,80
2021-02-20,Syracuse,Notre Dame,75,67
2021-02-20,Pittsburgh,Florida State,72,79
2021-02-20,Miami (FL),Georgia Tech,60,87
2021-02-20,Duke,Virginia,66,65
2021-02-20,North Carolina,Louisville,99,54
2021-02-22,Duke,Syracuse,85,71
2021-02-23,Louisville,Notre Dame,69,57
2021-02-23,Virginia Tech,Georgia Tech,53,69
2021-02-24,Miami (FL),Florida State,71,88
2021-02-24,Virginia,NC State,61,68
2021-02-24,Wake Forest,Clemson,39,60
2021-02-27,Virginia Tech,Wake Forest,84,46
2021-02-27,Georgia Tech,Syracuse,84,77
2021-02-27,North Carolina,Florida State,78,70
2021-02-27,Clemson,Miami (FL),66,58
2021-02-27,Duke,Louisville,73,80
2021-02-27,Boston College,Notre Dame,94,90
2021-02-28,NC State,Pittsburgh,65,62
2021-03-01,Syracuse,North Carolina,72,70
2021-03-01,Virginia,Miami (FL),62,51
2021-03-02,Georgia Tech,Duke,81,77
2021-03-02,Pittsburgh,Wake Forest,70,57
2021-03-03,Florida State,Boston College,93,64
2021-03-03,Notre Dame,NC State,69,80
2021-03-03,Syracuse,Clemson,64,54
2021-03-05,Wake Forest,Georgia Tech,63,75
2021-03-05,Miami (FL),Boston College,80,76
2021-03-06,Clemson,Pittsburgh,77,62
2021-03-06,Louisville,Virginia,58,68
2021-03-06,North Carolina,Duke,91,73
2021-03-06,Notre Dame,Florida State,83,73
2021-03-09,Duke,Boston College,86,51
2021-03-09,Notre Dame,Wake Forest,80,77
2021-03-09,Pittsburgh,Miami (FL),73,79
2021-03-10,Syracuse,NC State,89,68
2021-03-10,Clemson,Miami (FL),64,67
2021-03-10,Louisville,Duke,56,70
2021-03-10,North Carolina,Notre Dame,101,59
2021-03-11,Virginia,Syracuse,72,69
2021-03-11,Virginia Tech,North Carolina,73,81
2021-03-11,Georgia Tech,Miami (FL),70,66
2021-03-12,Florida State,North Carolina,69,66
2021-03-13,Florida State,Georgia Tech,75,80
2021-12-03,Boston College,Notre Dame,73,57
2021-12-03,Virginia,Pittsburgh,57,56
2021-12-04,Florida State,Syracuse,60,63
2021-12-04,Miami (FL),Clemson,80,75
2021-12-04,NC State,Louisville,68,73
2021-12-04,Virginia Tech,Wake Forest,61,80
2021-12-05,Georgia Tech,North Carolina,62,79
2021-12-22,Duke,Virginia Tech,76,65
2021-12-22,Virginia,Clemson,50,67
2021-12-28,Pittsburgh,Notre Dame,67,68
2021-12-29,Miami (FL),NC State,91,83
2021-12-29,Louisville,Wake Forest,73,69
2022-01-01,Miami (FL),Wake Forest,92,84
2022-01-01,NC State,Florida State,81,83
2022-01-01,Syracuse,Virginia,69,74
2022-01-02,Boston College,North Carolina,65,91
2022-01-02,Georgia Tech,Louisville,64,67
2022-01-04,Clemson,Virginia,65,75
2022-01-04,Duke,Georgia Tech,69,57
2022-01-04,Virginia Tech,NC State,63,68
2022-01-04,Wake Forest,Florida State,76,54
2022-01-05,Notre Dame,North Carolina,78,73
2022-01-05,Miami (FL),Syracuse,88,87
2022-01-05,Louisville,Pittsburgh,75,72
2022-01-08,Duke,Miami (FL),74,76
2022-01-08,Florida State,Louisville,79,70
2022-01-08,Georgia Tech,Notre Dame,68,72
2022-01-08,NC State,Clemson,65,70
2022-01-08,North Carolina,Virginia,74,58
2022-01-08,Pittsburgh,Boston College,69,67
2022-01-08,Wake Forest,Syracuse,77,74
2022-01-11,Florida State,Miami (FL),65,64
2022-01-11,Syracuse,Pittsburgh,77,61
2022-01-12,Wake Forest,Duke,64,76
2022-01-12,Virginia,Virginia Tech,54,52
2022-01-12,Louisville,NC State,63,79
2022-01-12,Boston College,Georgia Tech,76,81
2022-01-12,Notre Dame,Clemson,72,56
2022-01-15,Virginia Tech,Notre Dame,79,73
2022-01-15,Clemson,Boston College,68,70
2022-01-15,Duke,NC State,88,73
2022-01-15,North Carolina,Georgia Tech,88,65
2022-01-15,Pittsburgh,Louisville,65,53
2022-01-15,Syracuse,Florida State,71,76
2022-01-15,Virginia,Wake Forest,55,63
2022-01-18,Syracuse,Clemson,91,78
2022-01-18,Miami (FL),North Carolina,85,57
2022-01-18,Florida State,Duke,79,78
2022-01-19,Georgia Tech,Wake Forest,64,80
2022-01-19,Louisville,Boston College,67,54
2022-01-19,NC State,Virginia Tech,59,62
2022-01-19,Pittsburgh,Virginia,61,66
2022-01-22,NC State,Virginia,77,63
2022-01-22,Miami (FL),Florida State,60,61
2022-01-22,Louisville,Notre Dame,70,82
2022-01-22,Wake Forest,North Carolina,98,76
2022-01-22,Clemson,Pittsburgh,75,48
2022-01-22,Boston College,Virginia Tech,68,63
2022-01-22,Duke,Syracuse,79,59
2022-01-24,North Carolina,Virginia Tech,78,68
2022-01-24,Virginia,Louisville,64,52
2022-01-24,Wake Forest,Boston College,87,57
2022-01-25,Duke,Clemson,71,69
2022-01-25,Pittsburgh,Syracuse,64,53
2022-01-26,Georgia Tech,Florida State,75,61
2022-01-26,North Carolina,Boston College,58,47
2022-01-26,Notre Dame,NC State,73,65
2022-01-26,Virginia Tech,Miami (FL),75,78
2022-01-29,Notre Dame,Virginia,69,65
2022-01-29,Syracuse,Wake Forest,94,72
2022-01-29,North Carolina,NC State,100,80
2022-01-29,Louisville,Duke,65,74
2022-01-29,Georgia Tech,Miami (FL),62,73
2022-01-29,Florida State,Virginia Tech,72,85
2022-01-30,Boston College,Pittsburgh,69,56
2022-01-31,Notre Dame,Duke,43,57
2022-02-01,Louisville,North Carolina,83,90
2022-02-01,Virginia,Boston College,67,55
2022-02-02,Virginia Tech,Georgia Tech,81,66
2022-02-02,NC State,Syracuse,82,89
2022-02-02,Wake Forest,Pittsburgh,91,75
2022-02-02,Clemson,Florida State,75,69
2022-02-02,Miami (FL),Notre Dame,64,68
2022-02-05,Florida State,Wake Forest,60,68
2022-02-05,Georgia Tech,Clemson,69,64
2022-02-05,NC State,Notre Dame,57,69
2022-02-05,North Carolina,Duke,67,87
2022-02-05,Pittsburgh,Virginia Tech,71,76
2022-02-05,Syracuse,Louisville,92,69
2022-02-05,Virginia,Miami (FL),71,58
2022-02-07,Duke,Virginia,68,69
2022-02-07,Virginia Tech,Pittsburgh,74,47
2022-02-08,Boston College,Syracuse,64,73
2022-02-08,Clemson,North Carolina,77,79
2022-02-09,Miami (FL),Georgia Tech,79,70
2022-02-09,NC State,Wake Forest,51,69
2022-02-09,Florida State,Pittsburgh,51,56
2022-02-09,Notre Dame,Louisville,63,57
2022-02-10,Clemson,Duke,64,82
2022-02-12,Boston College,Duke,61,72
2022-02-12,Clemson,Notre Dame,61,76
2022-02-12,North Carolina,Florida State,94,74
2022-02-12,Pittsburgh,NC State,71,69
2022-02-12,Virginia,Georgia Tech,63,53
2022-02-12,Virginia Tech,Syracuse,71,59
2022-02-12,Wake Forest,Miami (FL),72,76
2022-02-14,Virginia Tech,Virginia,62,53
2022-02-15,Florida State,Clemson,81,80
2022-02-15,Georgia Tech,NC State,61,76
2022-02-15,Duke,Wake Forest,76,74
2022-02-16,Louisville,Miami (FL),63,70
2022-02-16,North Carolina,Pittsburgh,67,76
2022-02-16,Notre Dame,Boston College,99,95
2022-02-19,Wake Forest,Notre Dame,79,74
2022-02-19,Duke,Florida State,88,70
2022-02-19,Louisville,Clemson,70,61
2022-02-19,Miami (FL),Virginia,71,74
2022-02-19,Pittsburgh,Georgia Tech,62,68
2022-02-19,Syracuse,Boston College,76,56
2022-02-19,Virginia Tech,North Carolina,57,65
2022-02-21,North Carolina,Louisville,70,63
2022-02-21,Syracuse,Georgia Tech,74,73
2022-02-21,Boston College,Florida State,71,55
2022-02-22,Pittsburgh,Miami (FL),64,85
2022-02-23,Clemson,Wake Forest,80,69
2022-02-23,Georgia Tech,Virginia Tech,58,62
2022-02-23,NC State,Boston College,61,69
2022-02-23,Notre Dame,Syracuse,79,69
2022-02-23,Virginia,Duke,61,65
2022-02-26,Syracuse,Duke,72,97
2022-02-26,Wake Forest,Louisville,99,77
2022-02-26,Virginia,Florida State,63,64
2022-02-26,Notre Dame,Georgia Tech,90,56
2022-02-26,NC State,North Carolina,74,84
2022-02-26,Miami (FL),Virginia Tech,70,71
2022-02-26,Boston College,Clemson,60,70
2022-02-28,North Carolina,Syracuse,88,79
2022-03-01,Pittsburgh,Duke,56,86
2022-03-01,Virginia Tech,Louisville,75,43
2022-03-02,Boston College,Miami (FL),70,81
2022-03-02,Clemson,Georgia Tech,68,65
2022-03-02,Florida State,Notre Dame,74,70
2022-03-02,Wake Forest,NC State,101,76
2022-03-05,Notre Dame,Pittsburgh,78,54
2022-03-05,Syracuse,Miami (FL),72,75
2022-03-05,Louisville,Virginia,61,71
2022-03-05,Florida State,NC State,89,76
2022-03-05,Georgia Tech,Boston College,82,78
2022-03-05,Duke,North Carolina,81,94
2022-03-05,Clemson,Virginia Tech,63,59
2022-03-08,Clemson,NC State,70,64
2022-03-08,Louisville,Georgia Tech,84,74
2022-03-08,Pittsburgh,Boston College,46,66
2022-03-09,Florida State,Syracuse,57,96
2022-03-09,Virginia,Louisville,51,50
2022-03-09,Virginia Tech,Clemson,76,75
2022-03-09,Wake Forest,Boston College,77,82
2022-03-10,Notre Dame,Virginia Tech,80,87
2022-03-10,North Carolina,Virginia,63,43
2022-03-10,Miami (FL),Boston College,71,69
2022-03-10,Duke,Syracuse,88,79
2022-03-11,Duke,Miami (FL),80,76
2022-03-11,North Carolina,Virginia Tech,59,72
2022-03-12,Duke,Virginia Tech,67,82
2022-12-02,Clemson,Wake Forest,77,57
2022-12-02,NC State,Pittsburgh,60,68
2022-12-03,Duke,Boston College,75,59
2022-12-03,Virginia,Florida State,62,57
2022-12-03,Notre Dame,Syracuse,61,62
2022-12-04,Virginia Tech,North Carolina,80,72
2022-12-04,Louisville,Miami (FL),53,80
2022-12-10,Florida State,Louisville,75,53
2022-12-10,Miami (FL),NC State,80,73
2022-12-10,North Carolina,Georgia Tech,75,59
2022-12-20,Miami (FL),Virginia,66,64
2022-12-20,Syracuse,Pittsburgh,82,84
2022-12-20,Wake Forest,Duke,81,70
2022-12-21,Florida State,Notre Dame,73,72
2022-12-21,Georgia Tech,Clemson,66,79
2022-12-21,Boston College,Virginia Tech,70,65
2022-12-22,NC State,Louisville,76,64
2022-12-30,Clemson,NC State,78,64
2022-12-30,Notre Dame,Miami (FL),65,76
2022-12-30,Pittsburgh,North Carolina,76,74
2022-12-31,Wake Forest,Virginia Tech,77,75
2022-12-31,Duke,Florida State,86,67
2022-12-31,Georgia Tech,Virginia,56,74
2022-12-31,Syracuse,Boston College,79,65
2023-01-03,Louisville,Syracuse,69,70
2023-01-03,Pittsburgh,Virginia,68,65
2023-01-03,Boston College,Notre Dame,70,63
2023-01-04,North Carolina,Wake Forest,88,79
2023-01-04,Virginia Tech,Clemson,65,68
2023-01-04,Georgia Tech,Miami (FL),76,70
2023-01-04,NC State,Duke,84,60
2023-01-07,Boston College,Duke,64,65
2023-01-07,Florida State,Georgia Tech,75,64
2023-01-07,Louisville,Wake Forest,72,80
2023-01-07,North Carolina,Notre Dame,81,64
2023-01-07,Pittsburgh,Clemson,74,75
2023-01-07,Virginia,Syracuse,73,66
2023-01-07,Virginia Tech,NC State,69,73
2023-01-10,Notre Dame,Georgia Tech,73,72
2023-01-10,Virginia,North Carolina,65,58
2023-01-11,Wake Forest,Florida State,90,75
2023-01-11,Syracuse,Virginia Tech,82,72
2023-01-11,Clemson,Louisville,83,70
2023-01-11,Duke,Pittsburgh,77,69
2023-01-11,Miami (FL),Boston College,88,72
2023-01-14,NC State,Miami (FL),83,81
2023-01-14,Boston College,Wake Forest,63,85
2023-01-14,Clemson,Duke,72,64
2023-01-14,Florida State,Virginia,58,67
2023-01-14,Georgia Tech,Pittsburgh,60,71
2023-01-14,Louisville,North Carolina,59,80
2023-01-14,Syracuse,Notre Dame,78,73
2023-01-16,Miami (FL),Syracuse,82,78
2023-01-17,Georgia Tech,NC State,66,78
2023-01-17,North Carolina,Boston College,72,64
2023-01-17,Notre Dame,Florida State,71,84
2023-01-17,Wake Forest,Clemson,87,77
2023-01-18,Louisville,Pittsburgh,54,75
2023-01-18,Virginia,Virginia Tech,78,68
2023-01-21,Wake Forest,Virginia,67,76
2023-01-21,Notre Dame,Boston College,72,84
2023-01-21,North Carolina,NC State,80,69
2023-01-21,Pittsburgh,Florida State,64,71
2023-01-21,Duke,Miami (FL),68,66
2023-01-21,Clemson,Virginia Tech,51,50
2023-01-21,Georgia Tech,Syracuse,63,80
2023-01-23,Virginia Tech,Duke,78,75
2023-01-24,Clemson,Georgia Tech,72,51
2023-01-24,Florida State,Miami (FL),63,86
2023-01-24,NC State,Notre Dame,85,82
2023-01-24,Syracuse,North Carolina,68,72
2023-01-25,Boston College,Louisville,75,65
2023-01-25,Pittsburgh,Wake Forest,81,79
2023-01-28,Wake Forest,NC State,77,79
2023-01-28,Virginia Tech,Syracuse,85,70
2023-01-28,Pittsburgh,Miami (FL),71,68
2023-01-28,Virginia,Boston College,76,57
2023-01-28,Georgia Tech,Duke,43,86
2023-01-28,Florida State,Clemson,81,82
2023-01-28,Notre Dame,Louisville,76,62
2023-01-30,Syracuse,Virginia,62,67
2023-01-31,Boston College,Clemson,62,54
2023-01-31,Duke,Wake Forest,75,73
2023-01-31,Miami (FL),Virginia Tech,92,83
2023-02-01,Louisville,Georgia Tech,68,58
2023-02-01,NC State,Florida State,94,66
2023-02-01,North Carolina,Pittsburgh,64,65
2023-02-04,Virginia Tech,Virginia,74,68
2023-02-04,Notre Dame,Wake Forest,64,81
2023-02-04,NC State,Georgia Tech,72,64
2023-02-04,Louisville,Florida State,78,81
2023-02-04,Duke,North Carolina,63,57
2023-02-04,Clemson,Miami (FL),74,78
2023-02-04,Boston College,Syracuse,68,77
2023-02-06,Miami (FL),Duke,81,59
2023-02-07,Pittsburgh,Louisville,91,57
2023-02-07,Virginia,NC State,63,50
2023-02-07,Wake Forest,North Carolina,92,85
2023-02-08,Florida State,Syracuse,67,76
2023-02-08,Georgia Tech,Notre Dame,70,68
2023-02-08,Virginia Tech,Boston College,76,82
2023-02-11,Wake Forest,Georgia Tech,71,70
2023-02-11,Virginia,Duke,69,62
2023-02-11,Notre Dame,Virginia Tech,87,93
2023-02-11,Boston College,NC State,62,92
2023-02-11,Miami (FL),Louisville,93,85
2023-02-11,Florida State,Pittsburgh,75,83
2023-02-11,North Carolina,Clemson,91,71
2023-02-13,North Carolina,Miami (FL),72,80
2023-02-14,Duke,Notre Dame,68,64
2023-02-14,Pittsburgh,Boston College,77,58
2023-02-14,Syracuse,NC State,75,72
2023-02-15,Clemson,Florida State,94,54
2023-02-15,Georgia Tech,Virginia Tech,77,70
2023-02-15,Louisville,Virginia,58,61
2023-02-18,Virginia Tech,Pittsburgh,79,72
2023-02-18,Virginia,Notre Dame,57,55
2023-02-18,Syracuse,Duke,55,77
2023-02-18,Florida State,Boston College,69,75
2023-02-18,Louisville,Clemson,83,73
2023-02-18,Miami (FL),Wake Forest,96,87
2023-02-19,NC State,North Carolina,77,69
2023-02-20,Duke,Louisville,79,62
2023-02-21,Virginia Tech,Miami (FL),70,76
2023-02-21,Pittsburgh,Georgia Tech,76,68
2023-02-22,NC State,Wake Forest,90,74
2023-02-22,Notre Dame,North Carolina,59,63
2023-02-22,Boston College,Virginia,63,48
2023-02-22,Clemson,Syracuse,91,73
2023-02-25,Wake Forest,Notre Dame,66,58
2023-02-25,Pittsburgh,Syracuse,99,82
2023-02-25,North Carolina,Virginia,71,63
2023-02-25,Duke,Virginia Tech,81,65
2023-02-25,Miami (FL),Florida State,84,85
2023-02-25,NC State,Clemson,71,96
2023-02-25,Georgia Tech,Louisville,83,67
2023-02-27,Florida State,North Carolina,66,77
2023-02-28,Duke,NC State,71,67
2023-02-28,Louisville,Virginia Tech,54,71
2023-02-28,Syracuse,Georgia Tech,76,96
2023-02-28,Virginia,Clemson,64,57
2023-02-28,Wake Forest,Boston College,69,71
2023-03-01,Notre Dame,Pittsburgh,88,81
2023-03-04,Virginia Tech,Florida State,82,60
2023-03-04,Virginia,Louisville,75,60
2023-03-04,Syracuse,Wake Forest,72,63
2023-03-04,North Carolina,Duke,57,62
2023-03-04,Miami (FL),Pittsburgh,78,76
2023-03-04,Clemson,Notre Dame,87,64
2023-03-04,Boston College,Georgia Tech,65,73
2023-03-07,Boston College,Louisville,80,62
2023-03-07,Florida State,Georgia Tech,60,61
2023-03-07,Virginia Tech,Notre Dame,67,64
2023-03-08,NC State,Virginia Tech,97,77
2023-03-08,North Carolina,Boston College,85,61
2023-03-08,Pittsburgh,Georgia Tech,89,81
2023-03-08,Syracuse,Wake Forest,74,77
2023-03-09,Virginia,North Carolina,68,59
2023-03-09,Miami (FL),Wake Forest,74,72
2023-03-09,Clemson,NC State,80,54
2023-03-09,Duke,Pittsburgh,96,69
2023-03-10,Miami (FL),Duke,78,85
2023-03-10,Virginia,Clemson,76,56
2023-03-11,Virginia,Duke,49,59
2023-12-02,Boston College,NC State,78,84
2023-12-02,Georgia Tech,Duke,72,68
